Research Activity,Stream,PDF,Percentage Distribution
playing pranks,DS,0.30994649790363715,0.12%
singing country music,CS+DS,0.3916840837652734,0.18%
running a business empire,DS,0.10208111530416995,0.06%
whining at umpires,CS,0.028170175803670695,0.02%
running a smuggling business,DS,0.347132245856183,0.32%
writing political satires,CS+DS,0.05587509744491096,0.02%
promoting Darwinism,CS,0.39196099521567057,0.18%
promoting Heliocentrism,CS,0.3832376799106053,0.14%
swinging from tree to tree,DS,0.21028197151579553,0.04%
campaigning for environmental causes,CS+DS,0.3983404620731398,0.10%
escaping from handcuffs,CS+DS,0.396204766096759,0.16%
playing baseball,DS,0.14274558659799685,0.14%
selling fast food,CS+DS,0.381270314986664,0.16%
foiling the schemes of evil villains,CS+DS,0.38108944727363786,0.20%
currying favour,DS,0.19422106611030246,0.10%
writing pop songs,CS+DS,0.39505951079073476,0.12%
modeling clothes,CS,0.3933869088265524,0.14%
signing sports memorabilia,CS+DS,0.19220691225291012,0.12%
entertaining teenagers,CS+DS,0.39293064745366135,0.16%
exploring foreign countries,CS+DS,0.3975145650107829,0.24%
tossing coins,DS,0.27894479487448604,0.10%
chain-smoking Gauloises Bleues,CS,0.3911363111963045,0.10%
running an empire,CS+DS,0.17078768856387821,0.14%
starring in Hollywood movies,CS+DS,0.3600689999610067,0.24%
running restaurants,CS,0.09799388764269894,0.02%
making cartoons,CS,0.22285079661118465,0.10%
promoting liberal values,CS+DS,0.35808930499856045,0.10%
writing for pulp magazines,CS,0.38233720916265124,0.20%
foiling the schemes of evil villains,DS,0.38609659845072064,0.18%
writing funny movies,CS+DS,0.37938758164944686,0.16%
revolutionizing physics,CS+DS,0.03682519446276268,0.02%
promoting liberal values,DS,0.3971564893920964,0.24%
promoting Catholic values,CS+DS,0.3924521329357328,0.12%
chasing virgins,DS,0.25373069881820404,0.10%
starring in Hollywood movies,CS,0.3727551222571883,0.12%
running the FBI,CS,0.2399552819998575,0.10%
campaigning for social causes,CS,0.15896145646402512,0.02%
over-acting,CS,0.1947576625317934,0.10%
fighting for democracy,CS,0.09396728239468802,0.00%
singing jazz songs,CS+DS,0.12307716854807549,0.04%
starring in sit-coms,CS+DS,0.3169054953522162,0.10%
promoting conservative values,CS+DS,0.11784723026296894,0.06%
doing diet commercials,CS+DS,0.3690734434150061,0.26%
providing comic relief,DS,0.18697341541212498,0.10%
serving beer,DS,0.07995476655215347,0.06%
spying on girls,DS,0.1857967453923021,0.04%
playing baseball,CS,0.3477758980927178,0.18%
writing poetry,CS,0.3395544609935166,0.14%
insulting minorities,CS+DS,0.3761505390926314,0.10%
driving under the influence,CS,0.3372304628099924,0.08%
running a large metropolitan city,CS+DS,0.3746056850535418,0.12%
writing about social problems,CS,0.3204158516445218,0.10%
slashing victims,DS,0.242026999710524,0.12%
shocking radio listeners,CS,0.39771364199538195,0.18%
singing country music,CS,0.25100580648989335,0.12%
designing clothes,CS+DS,0.3900607953370825,0.14%
plotting terrorist outrages,CS+DS,0.30612924924593937,0.12%
fighting for the rebel alliance,DS,0.3275074305624758,0.16%
singing protest songs,CS+DS,0.39516891428789147,0.28%
starring in Hollywood movies,CS+DS,0.31061060913660915,0.06%
ranting about conservatives,DS,0.33011695404551844,0.18%
enriching uranium,CS,0.029520859494409656,0.04%
bugging political rivals,CS,0.071166801546833,0.04%
running a criminal enterprise,CS,0.3618212404902969,0.16%
starring in action movies,CS,0.3538433883190738,0.12%
opening a new front,CS+DS,0.2321931187256952,0.10%
enriching uranium,CS+DS,0.37582074861172404,0.20%
hosting educational films,DS,0.2726980819421565,0.12%
lying badly,DS,0.39026419515393584,0.20%
running a kingdom,CS+DS,0.3225607860656056,0.18%
biting opponents,CS+DS,0.28620577136540765,0.12%
wielding political power,CS+DS,0.268334786308863,0.12%
proving math theorems,CS,0.35316323843920183,0.18%
monetizing physical assets,CS+DS,0.262055255887826,0.10%
promoting Catholic values,CS+DS,0.2774482341209118,0.10%
promoting feminism,CS+DS,0.2983345848303006,0.18%
mass-producing cars,CS+DS,0.18200646841787518,0.02%
inventing electrical marvels,DS,0.3989390068084939,0.18%
publishing soft pornography,CS+DS,0.3483750455949793,0.12%
singing pop songs,CS+DS,0.3916155267799026,0.14%
bridging cultures,CS,0.2795818884008548,0.16%
running a kingdom,CS,0.058088704863560166,0.04%
racking up marriages,CS+DS,0.3458300195735636,0.22%
fighting for the rebel alliance,DS,0.1773764258359926,0.02%
starring in Hollywood movies,CS+DS,0.16524080249324616,0.12%
worrying about life,DS,0.3832104361230833,0.24%
interviewing politicians,CS,0.36864539792403295,0.08%
looking for love,DS,0.17985804247278958,0.04%
selling cosmetics,CS+DS,0.39660213838985653,0.06%
throwing sex parties,CS+DS,0.35816113936939253,0.12%
concocting magic potions,DS,0.36495112714026334,0.14%
foiling the schemes of evil villains,DS,0.21636143224514304,0.10%
doing stand-up,CS+DS,0.1221234795972563,0.02%
living amongst apes,CS,0.38822206715754265,0.22%
probing the mind,CS+DS,0.3653755569389999,0.10%
issuing threats,CS,0.0527602444445073,0.04%
eluding the public gaze,CS,0.1916539185247587,0.04%
peacocking in fancy clothes,CS+DS,0.30594621388992865,0.20%
wielding political power,CS,0.37880595849022897,0.22%
writing pop songs,CS,0.3848710850979175,0.16%
building an army,DS,0.2228935507566895,0.10%
campaigning for social causes,CS+DS,0.349900203349111,0.18%
devising evil schemes,DS,0.19274493072946913,0.14%
winning boxing matches,CS+DS,0.20737855360185695,0.12%
plotting election strategies,CS+DS,0.23562673429705128,0.08%
performing kung-fu moves,DS,0.3890182078197813,0.22%
making documentaries,DS,0.3847040052933397,0.18%
cozying up to conservatives,CS+DS,0.13054927476121186,0.04%
making billions,CS,0.39275761978299734,0.14%
promoting conservative values,CS+DS,0.21163367789440624,0.10%
singing rock songs,CS,0.2403502154546464,0.12%
picking pockets,DS,0.3122844761559939,0.16%
letting one's hair down,CS,0.3509703190957464,0.16%
eating exotic foods,CS,0.14716790259458304,0.06%
writing pop songs,CS,0.32021130352007005,0.20%
winning cycling races,CS,0.3207986121539578,0.20%
falling for prank calls,DS,0.31292980613323457,0.22%
playing rock piano,CS,0.2850864508489817,0.18%
knocking out opponents,CS+DS,0.39549686210783647,0.10%
rescuing aristocrats,DS,0.38597314774129915,0.26%
promoting humanism,CS+DS,0.35207334288253317,0.10%
bridging cultures,CS,0.33108239634563175,0.14%
winning heavyweight titles,CS+DS,0.10979468691440475,0.04%
tending the garden,CS+DS,0.18548533811908266,0.08%
finding clues,DS,0.2812633520552417,0.24%
interviewing politicians,DS,0.1531978682665063,0.06%
seducing toy boys,DS,0.39586698336889503,0.10%
hosting reality TV shows,CS+DS,0.2047832009253267,0.04%
cooking for friends,DS,0.23470369638255517,0.08%
singing Hipbop songs,CS,0.2462758448002848,0.10%
defending the weak,DS,0.288973093882441,0.16%
ruling over subjects,CS+DS,0.16922671576073955,0.04%
interpreting evidence,CS+DS,0.3242698882427324,0.10%
cheating at golf,DS,0.19321170162179355,0.04%
flipping hamburgers,DS,0.3836341709493045,0.26%
wielding political power,CS+DS,0.3784917931259736,0.14%
promoting conservative values,CS,0.37753730220389453,0.16%
starring in Hollywood movies,CS+DS,0.38762149060206874,0.14%
building empires,CS+DS,0.29729516126489286,0.16%
promoting evolutionary theory,CS,0.11831403557500886,0.10%
tricking criminals,DS,0.05159245659523975,0.06%
starring in Hollywood movies,CS+DS,0.39478923933834587,0.18%
making racist jibes,DS,0.3978444801588694,0.24%
disappointing suitors,DS,0.251888165019542,0.12%
piquing public interest,CS,0.38785369943191855,0.06%
interpreting evidence,DS,0.36277337345319194,0.12%
starring in action movies,CS,0.2385293790154608,0.14%
swinging on a perch,DS,0.1323642511741837,0.14%
worrying about adultery,DS,0.39833345576825285,0.18%
climbing social ladders,DS,0.12371233994890823,0.08%
grabbing power,DS,0.11789891599939056,0.02%
tricking criminals,DS,0.21497654999275223,0.14%
building a search engine,CS,0.20002516849772653,0.14%
waiting for a hero,DS,0.2917966047145241,0.22%
ranting about liberals,CS,0.3520612171855556,0.08%
promoting greed,DS,0.38660536573512677,0.26%
running a smuggling business,CS,0.14330999834614616,0.08%
making subversive art,CS+DS,0.07607576121350237,0.00%
starring in Hollywood movies,CS+DS,0.24198782277121583,0.10%
giving speeches,CS,0.3605222485481045,0.10%
piquing public interest,CS+DS,0.3938719376478081,0.20%
writing modern fiction,CS+DS,0.32443166240118965,0.20%
promoting communism,CS+DS,0.3912423223535513,0.18%
hitting home runs,CS+DS,0.14687593210841215,0.08%
extracting confessions,CS,0.37472060227488435,0.16%
stealing jewels,DS,0.23984070615089917,0.18%
writing in ledgers,DS,0.3590426818668085,0.24%
promoting conservative values,CS+DS,0.09033238758533214,0.02%
winning heavyweight titles,CS,0.3870765992872752,0.32%
running an empire,DS,0.368932719364278,0.14%
devising evil schemes,DS,0.2359719636112798,0.08%
burying dead hamsters,DS,0.29057003554805994,0.12%
starring in comedies,CS,0.3959270364877202,0.12%
writing pop songs,CS+DS,0.3228239326072272,0.18%
launching cultural revolutions,CS+DS,0.26716434658255284,0.20%
fighting with swords,DS,0.3095701480730627,0.12%
solving crimes,DS,0.3888556217304922,0.36%
writing rock songs,CS,0.32492193773847,0.06%
doing slapstick comedy,CS+DS,0.3839375836023911,0.22%
running races,CS+DS,0.3826146905961606,0.22%
running a criminal empire,DS,0.34491295822856516,0.14%
escaping from water tanks,CS+DS,0.38338658688924665,0.12%
grilling interviewees,CS+DS,0.07503375856591499,0.00%
giving self-help lectures,CS,0.361608865268968,0.20%
cross-dressing in women's clothes,CS+DS,0.28644722260063715,0.08%
forming new social connections,CS,0.25445254134388645,0.10%
testing new technologies,CS,0.3911626931170748,0.24%
writing short stories,CS+DS,0.341610685825524,0.08%
playing jazz saxophone,CS+DS,0.3866698173253223,0.04%
playing baseball,CS+DS,0.38229967102215523,0.16%
cracking enemy codes,CS+DS,0.24255392570472478,0.08%
playing God,DS,0.23290207566726176,0.18%
recruiting disaffected youths,CS+DS,0.12739102120563991,0.06%
watching TV,CS,0.3989278567450953,0.22%
launching foreign wars,CS,0.24131910442303825,0.10%
writing modern poetry,CS+DS,0.3771652205967267,0.18%
exploring the new world,CS+DS,0.3965864919687382,0.22%
promoting conservative values,CS,0.023723049289504007,0.00%
making new wave movies,CS,0.27583107984354377,0.18%
carving magnificent statues,DS,0.3727512325701192,0.30%
fighting civil wars,CS+DS,0.3159202939234255,0.14%
suppressing minorities,CS+DS,0.16295936371558614,0.10%
crooning love songs,CS,0.22106983334878363,0.12%
riding a bicycle,CS,0.017033778038376066,0.00%
promoting conservative values,CS+DS,0.2648719451289602,0.10%
singing opera arias,CS,0.29194855041053297,0.08%
spreading philosophy,CS,0.25197844577756134,0.18%
singing punk rock songs,CS+DS,0.3247524498256178,0.16%
studying science,CS,0.29888577702221775,0.12%
launching a war,CS+DS,0.32666974128316423,0.10%
developing cunning plans,CS+DS,0.2298894822417343,0.08%
winning gold medals,CS+DS,0.3093993210284075,0.10%
interviewing celebrities,DS,0.3827577708349493,0.18%
getting plastic surgery,CS+DS,0.2797453859407642,0.08%
singing opera arias,CS,0.3774868807052044,0.18%
interpreting evidence,DS,0.15091625802277983,0.04%
running an empire,DS,0.36143104238096674,0.14%
gadding about town,DS,0.29853001703930493,0.28%
forging art,DS,0.32766411520841937,0.20%
twirling a cane,CS,0.3880911581002374,0.12%
leading armies into battle,CS+DS,0.28512738728103615,0.06%
hunting serial killers,DS,0.3704967922514158,0.08%
disappointing the family,DS,0.3108264103460921,0.12%
starring in Hollywood movies,CS+DS,0.36367774595082425,0.12%
engaging in hapless hijinks,CS,0.27544218280520516,0.10%
peacocking in fancy clothes,DS,0.31421849672580665,0.12%
terrorizing employees,DS,0.3776274316354962,0.22%
tending the garden,DS,0.3321731893283122,0.30%
singing pop songs,CS,0.3907007637264369,0.12%
surviving large-scale floods,CS,0.28873195450943206,0.16%
singing rock songs,CS,0.23802301884339552,0.08%
promoting totalitarianism,CS+DS,0.37663906967932026,0.20%
making home-made clothes,DS,0.393057520940057,0.18%
painting soup cans,CS,0.22173395524011583,0.06%
collecting treasures,CS,0.39453809358230735,0.28%
singing pop songs,CS+DS,0.3639925591952652,0.12%
singing pop songs,CS,0.3927580258306149,0.22%
starring in Hollywood movies,CS+DS,0.23141653086630143,0.04%
cooking chrystal meth,DS,0.3988809722970716,0.12%
rescuing aristocrats,DS,0.20494286714901927,0.18%
making antisemitic remarks,CS+DS,0.21657770784859603,0.10%
betraying friends,CS+DS,0.38738683254322476,0.18%
writing epic poetry,CS,0.26777250232834104,0.04%
making cars,CS+DS,0.37581417917653753,0.22%
fighting for the rebel alliance,DS,0.3085183983737305,0.14%
spreading revolution,CS+DS,0.3148165236592874,0.20%
hosting a late night chat show,CS+DS,0.28903056481143297,0.16%
performing motorcycle stunts,CS+DS,0.0554984459644998,0.00%
defending the weak,DS,0.2968411387697768,0.12%
raising a family,DS,0.2667423164290273,0.10%
running a movie studio,CS,0.0023217782532617263,0.00%
promoting conservative values,CS,0.3885995926197815,0.18%
fighting with the mob,CS,0.3960744706461658,0.14%
finding clues,DS,0.23975513486414374,0.14%
starring in Hollywood movies,CS+DS,0.24644950757355508,0.06%
directing movies,CS,0.3358355917601174,0.08%
performing magic tricks,DS,0.3830525864624125,0.22%
promoting the Dark Side,DS,0.06145970977010723,0.02%
ranting about liberals,CS,0.22505138582557996,0.12%
reporting for The Daily Planet,DS,0.39461883729413066,0.20%
promoting pacifism,CS,0.3977740814535357,0.12%
causing mayhem,DS,0.3933368015767747,0.18%
cooking dinners,CS+DS,0.31076131567806214,0.26%
leaking state secrets,CS,0.08019260229090339,0.02%
promoting conservative values,CS,0.3805986458053074,0.14%
enjoying money,DS,0.06075316126009606,0.00%
explaining evolution,CS,0.19634323889927124,0.08%
promoting feminism,CS,0.35034317031456297,0.12%
running a technology company,CS,0.35396107984041125,0.14%
directing action movies,CS+DS,0.2929382770342488,0.16%
making condescending remarks,DS,0.2502639728490602,0.14%
divorcing husbands,CS,0.305336899700868,0.12%
frying crabby patties,DS,0.19583257426145576,0.14%
drawing whimsical cartoons,CS+DS,0.39769146493252366,0.20%
partying on yachts,CS+DS,0.292721387888061,0.14%
climbing social ladders,CS+DS,0.020343140955425637,0.00%
causing political scandals,CS+DS,0.3696893327332704,0.08%
spreading political gossip,CS+DS,0.35880981896208713,0.18%
kicking ass,DS,0.3988402454614666,0.14%
promoting hair products,CS,0.3971785452544488,0.14%
playing jazz trumpet,CS+DS,0.3711690882370657,0.16%
running a hotel,DS,0.3958069253673035,0.24%
defending the weak,DS,0.3988162766306613,0.24%
spying for the enemy,CS+DS,0.20329967359827178,0.14%
pushing the hardline,DS,0.37432902894246506,0.20%
promoting communism,CS,0.34537809726323093,0.20%
building rocket ships,DS,0.20662877176949185,0.08%
running a clandestine spy organization,DS,0.15432838365999052,0.04%
writing pop songs,CS,0.04091765098827234,0.00%
creating dictionaries,CS+DS,0.3220039373036445,0.16%
conducting illicit affairs,CS+DS,0.393846043063251,0.08%
writing pop songs,CS+DS,0.09508090074644931,0.04%
making strategic decisions,DS,0.2717567284703196,0.14%
writing modern fiction,CS+DS,0.3546361929441201,0.04%
promoting science,DS,0.10808324162793038,0.04%
surviving in a post-apocalyptic world,DS,0.16416667117753508,0.10%
writing compelling dialogue,CS,0.057138234156518634,0.04%
singing pop songs,CS+DS,0.08931530609510883,0.02%
treating the sick,CS,0.19078563904271909,0.04%
ranting about liberals,CS+DS,0.3301603546487509,0.18%
analyzing murder scenes,DS,0.3563357615327148,0.26%
drinking demon blood,DS,0.2672265798678479,0.14%
promoting conservative values,CS,0.21342680832521946,0.10%
going on romantic quests,DS,0.02021592353257554,0.00%
directing violent movies,CS,0.3730464279188304,0.10%
teaching philosophy,CS+DS,0.31061847302256135,0.10%
ruling over subjects,CS,0.2982338444587155,0.18%
phoning home,DS,0.35497113017988635,0.14%
seeking revenge,DS,0.2521329764785251,0.14%
painting abstract paintings,CS+DS,0.34253404530431164,0.12%
practicing the Occult,DS,0.3584679142746617,0.14%
promoting circus attractions,CS+DS,0.3310150406640788,0.18%
running a media empire,CS,0.3389497757090732,0.20%
starring in reality TV shows,CS+DS,0.15944803609107433,0.00%
eating the inedible,CS,0.3208779173130548,0.12%
performing household chores,CS,0.24203341133344408,0.12%
flipping hamburgers,DS,0.3976772744069656,0.18%
moaning about men,DS,0.020083088306626327,0.00%
devising evil schemes,CS+DS,0.3949083206251664,0.20%
preventing crime,DS,0.30127265903095823,0.10%
promoting democracy,CS,0.30183730539964093,0.14%
campaigning for consumer rights,CS,0.3562416038730947,0.10%
starring in Hollywood movies,CS,0.3897225134708234,0.12%
promoting new wars,CS+DS,0.30172565408928353,0.06%
coining sententious maxims,DS,0.34901316727565734,0.18%
surviving in the 25th century,DS,0.15830429231440052,0.10%
running a crime family,CS+DS,0.2941355865006221,0.08%
singing parody songs,CS+DS,0.27376120827798867,0.20%
releasing the hounds,DS,0.1487408551129293,0.02%
Research Activity,CS,0.10088056035063735,0.00%
ranting about liberals,CS+DS,0.34889252017438793,0.14%
devising evil schemes,DS,0.3983087157681532,0.32%
pioneering new technologies,CS,0.2946910097502162,0.10%
starring in Hollywood movies,CS+DS,0.30126072973635987,0.14%
starring in TV shows,CS+DS,0.36355513651204757,0.18%
attending cotillion balls,DS,0.38457361154602504,0.24%
commiting perjury,CS+DS,0.3091377762099425,0.16%
promoting capitalism,DS,0.39688136040244426,0.12%
hiding from the public,CS,0.2735838913851071,0.16%
performing office chores,DS,0.2673597054328832,0.22%
promoting nerd culture,CS+DS,0.3112482500228985,0.20%
making unauthorized sex tapes,CS+DS,0.11134590905536146,0.02%
designing haute couture,CS+DS,0.12139054512252742,0.02%
offering bad advice,DS,0.23972421813978587,0.14%
promoting social causes,CS+DS,0.28604703106877133,0.08%
writing modern fiction,CS,0.3479069737379427,0.08%
writing mystery stories,CS+DS,0.3958071834964413,0.22%
reporting the news,CS,0.3895255095849459,0.20%
scandalizing polite society,CS+DS,0.3988350549961192,0.10%
starring in romantic comedies,CS,0.19318637475995773,0.08%
making science fiction movies,CS,0.3230148981181062,0.20%
writing legal fiction,CS,0.26541605501006876,0.10%
selling dodgy goods,DS,0.39666485769212545,0.20%
winning Michelin stars,CS+DS,0.3874501359194229,0.12%
winning tennis tournaments,CS,0.14783058102132157,0.10%
peacocking in fancy clothes,CS+DS,0.02981948435098524,0.00%
getting run over by cars,DS,0.3632697503310319,0.32%
cleaning floors,DS,0.37611456276182853,0.30%
mangling idioms,DS,0.151881371855439,0.12%
falling in love,DS,0.24184789063156295,0.24%
casting magic spells,DS,0.3643708125494709,0.14%
hosting a late night chat show,CS,0.32389473106745115,0.16%
writing pop songs,CS+DS,0.3832622735620012,0.22%
singing rock songs,CS,0.295631117563246,0.14%
preventing crime,DS,0.19611606020065153,0.12%
playing soccer,CS,0.39863500870339696,0.16%
preening in front of the mirror,DS,0.33506973982727956,0.20%
organizing armed robberies,DS,0.21340071672192476,0.12%
flaunting foppish fashions,CS+DS,0.3620408920936555,0.16%
amassing wealth,DS,0.2940347001997197,0.24%
writing historical fiction,CS+DS,0.1233502215233401,0.04%
running a communist country,CS+DS,0.2800012184527427,0.16%
running assembly lines,CS+DS,0.3909254494455396,0.18%
arresting drug dealers,DS,0.27685067167636784,0.10%
cross-dressing in women's clothes,CS,0.37751028332267894,0.18%
solving riddles,DS,0.07188156609591824,0.02%
developing new technologies,CS,0.3459496650776708,0.20%
explaining natural selection,CS,0.3662965061377185,0.06%
pursuing criminals,DS,0.39872808059449255,0.28%
killing monsters,DS,0.39171654962242336,0.30%
chasing old women,CS,0.2575457986600036,0.04%
running for the presidency,CS+DS,0.06372972058259327,0.02%
studying science,CS,0.398881200536384,0.16%
playing James Bond,CS+DS,0.13093671237410265,0.04%
avoiding growing old,DS,0.23492609964706854,0.22%
searching for a new world,CS+DS,0.15197257075309525,0.04%
starring in Hollywood movies,CS,0.3980421522301891,0.28%
fishing for shrimps,DS,0.250185287261635,0.10%
climbing social ladders,DS,0.38027463180859683,0.16%
ruling over subjects,DS,0.38932403280374395,0.12%
reporting the news,CS,0.3713514052756084,0.10%
starring in Hollywood movies,CS+DS,0.3042008673928474,0.16%
running a newspaper empire,DS,0.3947787239377707,0.28%
shouting in Hollywood movies,CS,0.3741111971950359,0.10%
writing Hollywood movies,CS,0.3971031379131941,0.12%
writing scripts,CS,0.2901034094089435,0.16%
writing cook books,CS+DS,0.15457987856574312,0.02%
developing crazy schemes,DS,0.12863705871064024,0.08%
evading mercenaries,DS,0.27788438555858364,0.08%
interviewing celebrities,CS+DS,0.32860660132405056,0.16%
selling comic books,CS+DS,0.3853763683084593,0.14%
pioneering new technologies,CS+DS,0.3823690329398063,0.24%
campaigning for social causes,CS+DS,0.02675882023985032,0.00%
making insipid musicals,CS+DS,0.26609396661182605,0.06%
raging against the machine,DS,0.2456753441863609,0.14%
parodying songs,CS+DS,0.3513345979246411,0.18%
causing mayhem,DS,0.05699649780827722,0.02%
studying gorillas up close,CS+DS,0.3920587035671639,0.36%
frowning at errant husbands,DS,0.23948353833185002,0.06%
playing the trumpet,CS+DS,0.3609809097124289,0.14%
writing cook books,CS,0.041850235647848635,0.04%
causing mayhem,DS,0.17022574780523114,0.06%
writing about manly pursuits,CS,0.16151257309895345,0.08%
competing in the Olympics,CS+DS,0.3571535906680959,0.14%
looking for love,DS,0.35527742417408226,0.18%
