Research Activity,Stream,PDF,Percentage Distribution
delivering presents,DS,0.24978928888187565,0.67%
playing everyman characters,CS+DS,0.15354661700123257,0.17%
promoting logical thinking,DS,0.11689595594781996,0.25%
foiling the schemes of evil villains,DS,0.3807739626526599,0.58%
stealing jewels,DS,0.3860214559224575,0.92%
foiling the schemes of evil villains,DS,0.15222564238235484,0.67%
developing new technologies,CS,0.34637491522305325,0.50%
rescuing hostages,DS,0.39592408675227303,1.00%
flirting with rednecks,CS+DS,0.04727455740097066,0.00%
promoting hair products,CS+DS,0.3149991515129434,0.33%
promoting big business,CS,0.27919923538513364,0.25%
disposing of unwanted jewelry,DS,0.17235862562875445,0.33%
managing large development projects,CS,0.3984750594634033,0.25%
bullying schoolkids,DS,0.12713013974257972,0.33%
smoking Laramie Hi-Tars,DS,0.39728044359510845,1.25%
developing military strategies,CS+DS,0.39339814332501244,0.50%
clipping coupons,DS,0.3703530922204387,1.08%
painting abstract pictures,CS+DS,0.37911410284575214,0.42%
speaking with funny accents,CS,0.3309763030031872,0.25%
starring in Hollywood movies,CS+DS,0.3289936042083508,0.67%
playing soccer,CS,0.39829072836212615,0.50%
living amongst apes,CS,0.16298967699467137,0.58%
ruling over subjects,CS,0.37007335914245443,0.92%
pretending to wrestle,CS,0.20552047815385113,0.42%
analyzing the sub-conscious,DS,0.16323316812755184,0.42%
peacocking in fancy clothes,CS+DS,0.20201407607085217,0.50%
starring in comedies,CS,0.27332077378628433,0.25%
reporting the news,CS,0.2982225548321427,0.33%
writing plays,CS,0.3985058446606471,0.58%
writing pop songs,CS+DS,0.3902222541548711,0.42%
writing pop songs,CS+DS,0.3923034944103871,0.67%
writing purple prose,CS+DS,0.2987263615155849,0.58%
racking up marriages,CS,0.3231262658963662,0.67%
ranting about politics,CS,0.3083981974734053,0.42%
promoting openness,CS+DS,0.3607013762065048,0.83%
ranting about liberals,CS+DS,0.01889362253402882,0.00%
playing baseball,CS+DS,0.18053614627012338,0.42%
writing crime stories,CS+DS,0.3954383254642092,1.25%
burning the wicked,DS,0.09306894171672817,0.25%
running an empire,CS,0.3840839467797417,0.83%
racing fast cars,CS,0.34902171629711637,0.67%
playing aggressive chess,CS,0.3901916757995627,0.58%
performing magic tricks,DS,0.39321770092670827,0.92%
seeking revenge,DS,0.13531463834551302,0.25%
running races,CS+DS,0.3328389360225405,0.42%
raising a family,DS,0.29748977689262995,1.00%
playing soccer,CS+DS,0.35332916615451354,0.33%
smoking during recess,DS,0.3968131160113246,0.92%
terrorizing prostitutes,CS,0.263258015121004,0.42%
promoting the Web,CS+DS,0.20273553598412983,0.33%
posing for photographs,CS,0.18164102826774078,0.42%
cooking dinners,CS,0.04339837478972562,0.08%
commanding a whaling ship,DS,0.0925939437585529,0.33%
fomenting social revolution,CS,0.12105855028878561,0.25%
singing romantic songs,CS+DS,0.23219152298094772,0.17%
Research Activity,CS+DS,0.07034806629113849,0.08%
interviewing celebrities,CS+DS,0.37775768569611856,0.58%
developing military strategies,CS,0.3859674850931559,1.00%
making home-made clothes,DS,0.39884100897138797,1.33%
running the FBI,CS+DS,0.21727060416514546,0.42%
winning tennis matches,CS,0.336820852964416,0.83%
killing demons,DS,0.3173017999094758,0.50%
starring in reality TV shows,CS,0.21553589442944687,0.42%
chasing murderers,DS,0.08092261638710281,0.17%
commiting perjury,CS+DS,0.3652628138766605,0.50%
posing riddles,DS,0.3257928571113815,0.75%
looking for hidden treasures,DS,0.021798765746537274,0.00%
singing experimental songs,CS+DS,0.39372931702278297,0.75%
stabbing in the back,CS+DS,0.3123176250710959,0.42%
writing poetry,CS+DS,0.29172951651903817,0.17%
attending cocktail parties,DS,0.3357967539391835,0.92%
digging for antiquities,DS,0.3513222227128801,0.83%
staring at the moon,CS,0.3934704455141242,0.83%
writing plays,CS+DS,0.25313911699163405,0.58%
knocking out opponents,CS+DS,0.3152878780159114,0.58%
publishing newspapers,CS+DS,0.39765770051574956,0.58%
teaching the next generation,CS+DS,0.012526994592446147,0.00%
pulling capers,DS,0.3942591012821005,1.17%
starring in pornographic movies,CS+DS,0.3814277580563201,0.67%
starring in comedies,CS,0.33338897268292317,0.92%
building giant walls,CS,0.3971172754713456,0.67%
phoning home,DS,0.26146513951675004,0.67%
selling consumer goods,CS+DS,0.3472853899902795,0.75%
singing rock songs,CS+DS,0.21209435852383468,0.25%
hunting raccoons,CS+DS,0.33127630011631565,0.58%
writing pop songs,CS+DS,0.3931687998271371,0.92%
