Research Activity,Stream,PDF,Percentage Distribution
selling consumer goods,CS,0.3944160448789438,0.25%
raging against the machine,DS,0.39026395117747226,0.42%
causing mayhem,DS,0.21449467337436184,0.21%
looking for love,DS,0.12787085011172453,0.13%
saying grace,DS,0.2995294137836146,0.25%
writing romantic fiction,CS,0.201587458293492,0.17%
ranting about politics,CS+DS,0.04805011059101724,0.04%
collecting fossils,CS,0.37862072641069666,0.71%
painting soup cans,CS+DS,0.005393320607577177,0.00%
playing pop music,CS,0.3307678030489076,0.42%
piquing public interest,CS,0.38116999087928755,0.46%
publishing soft pornography,CS+DS,0.33682530085438017,0.33%
starring in comedies,CS+DS,0.17384773724069766,0.29%
casting magic spells,DS,0.39369302884663526,0.33%
writing rock songs,CS+DS,0.3988868836130391,0.46%
chasing jellyfish,DS,0.33174190925746144,0.42%
selling tickets,CS,0.19548746435274464,0.17%
writing plays,CS+DS,0.30147264443173877,0.42%
instilling fear in the enemy,DS,0.39367261390813363,0.29%
writing pop songs,CS+DS,0.1552555144664791,0.21%
promoting Catholic values,CS+DS,0.398127749149127,0.63%
foiling the schemes of evil villains,DS,0.3742749830593635,0.42%
campaigning for the presidency,CS+DS,0.33901980233188067,0.21%
leading armies into battle,CS,0.06120494027121386,0.00%
starring in action movies,CS+DS,0.3911473803183099,0.38%
producing Hipbop records,CS,0.3072879657923465,0.33%
throwing lavish parties,DS,0.2222407269301758,0.33%
making antisemitic remarks,CS+DS,0.09221214910347454,0.08%
throwing fund-raisers for Parkinson's disease,CS,0.2936129862481114,0.29%
over-achieving at school,DS,0.13086715493058726,0.04%
promoting Fascism,CS+DS,0.37970241626625345,0.42%
directing action movies,CS,0.145028850862542,0.08%
hosting radio shows,DS,0.18781981876097711,0.21%
promoting conservative values,CS,0.391269176499541,0.50%
running a business empire,CS+DS,0.3723006376078466,0.33%
practicing the Occult,DS,0.24469535150382055,0.21%
studying magic tricks,DS,0.20202694337554333,0.21%
starring in romantic comedies,CS+DS,0.29462194961708404,0.33%
running an empire,DS,0.36363826330062077,0.17%
writing romantic poetry,CS,0.3129081842901177,0.38%
swinging on a perch,DS,0.292637824571262,0.25%
singing torch songs,CS,0.08718942960260137,0.13%
issuing fatwas,CS,0.38221347311071924,0.46%
interpreting evidence,DS,0.396774711088732,0.29%
smuggling contraband,DS,0.3710398337443734,0.42%
slapping soldiers,CS+DS,0.041581167827919,0.00%
forming new social connections,CS,0.3930086043688496,0.38%
writing pop songs,CS+DS,0.22428745409666218,0.13%
selling self-help books,CS,0.23540606526638122,0.42%
writing pop songs,CS+DS,0.37788973139744064,0.25%
eluding imperial storm-troopers,DS,0.3257695791776933,0.17%
shouting in Hollywood movies,CS,0.38850447625243184,0.17%
hosting educational films,DS,0.26120183446830386,0.21%
spying for the CIA,DS,0.3365282443763753,0.33%
squabbling on television,DS,0.31443570784497304,0.38%
escaping from handcuffs,CS+DS,0.39048982558460377,0.21%
finding clues,DS,0.07988332574314551,0.08%
campaigning for the senate,CS,0.38658817765504755,0.38%
starring in Hollywood movies,CS,0.39033945680398585,0.29%
doing stand-up,CS,0.35944308529314284,0.42%
rooting out spies,DS,0.39264868602332603,0.25%
promoting hair products,CS+DS,0.3000696056999254,0.38%
singing pop songs,CS,0.10041446401245326,0.13%
monetizing physical assets,CS+DS,0.24198982486602358,0.17%
starring in comedies,CS+DS,0.39227734667496045,0.58%
piloting the lunar module,CS,0.37958485071631376,0.33%
promoting communism,CS,0.3841247846324716,0.46%
chasing after women,CS,0.3354589159022553,0.29%
going senile,DS,0.3476829869978886,0.42%
hosting a late night chat show,CS+DS,0.33248248133633634,0.33%
climbing social ladders,DS,0.251161017219888,0.08%
meddling in the dark arts,DS,0.14029632890393973,0.13%
performing magic tricks,CS+DS,0.39305388046805817,0.29%
painting realistic pictures,CS,0.35240864659025095,0.21%
running a criminal enterprise,CS+DS,0.35763250821268316,0.38%
doing raunchy stage acts,CS,0.39513177447316533,0.50%
teaching magic,DS,0.22711417196924416,0.21%
counting tooth picks,DS,0.34817575668845296,0.17%
singing pop songs,DS,0.2625744525643743,0.46%
breaking heads,DS,0.2263693639738311,0.08%
enjoying money,DS,0.3860836881895973,0.50%
starring in Hollywood movies,CS+DS,0.26525294535818955,0.21%
fighting for the resistance,DS,0.38985785862458955,0.54%
looking after children,DS,0.39869686072285276,0.38%
staring at the moon,CS,0.2207586623999969,0.25%
assassinating presidents,CS+DS,0.10588529706247707,0.13%
running a business empire,CS+DS,0.39760424272028666,0.21%
chasing old women,CS+DS,0.1644666321963593,0.25%
following clues,DS,0.04004421772961964,0.00%
eluding Republicans,DS,0.3972748899922823,0.21%
cooking dinners,CS+DS,0.08474481483371792,0.17%
performing street magic,CS+DS,0.2814318444550098,0.17%
causing mayhem,DS,0.19435494627927236,0.04%
writing comedy,CS+DS,0.0055692798717906136,0.00%
smoking during recess,DS,0.31807303945809445,0.25%
reporting for The Daily Planet,DS,0.37443458768235377,0.21%
promoting Catholic values,CS,0.3632640999691868,0.38%
trading in wives,CS+DS,0.28740026625350795,0.38%
pulling pranks,DS,0.3958668237556644,0.38%
running an empire,CS+DS,0.381102416339196,0.42%
reading self-help books,DS,0.09693505668200933,0.21%
going on commando missions,DS,0.3650065829610609,0.42%
moaning about men,DS,0.15710552041679554,0.21%
fighting for liberty,CS+DS,0.3272111452982254,0.46%
writing pop songs,CS+DS,0.2452517772910066,0.29%
singing torch songs,CS,0.35156713766754,0.42%
singing pop songs,CS+DS,0.3224443795860546,0.21%
seeking revenge,DS,0.12847672608448157,0.21%
rescuing hostages,DS,0.17133398881616732,0.08%
drinking one's life away,DS,0.33133999611904985,0.38%
cross-dressing in women's clothes,CS+DS,0.39644827040627423,0.50%
making dumb comedies,CS,0.31405750872513727,0.33%
complaining about everything,DS,0.3829798688050495,0.38%
selling fried chicken,DS,0.3355255300332757,0.17%
mangling idioms,CS+DS,0.39819104849955117,0.50%
starring in pornographic movies,CS+DS,0.33539811703478367,0.33%
promoting circus attractions,CS+DS,0.2548738190522712,0.17%
starring in kung-fu movies,CS+DS,0.04744759300913719,0.00%
digging for antiquities,DS,0.11034888067457037,0.13%
performing kung-fu moves,DS,0.39890442266094045,0.29%
writing pop songs,CS+DS,0.24655955295229803,0.13%
starring in sit-coms,CS+DS,0.014302649775133557,0.00%
climbing social ladders,DS,0.3353341166752668,0.54%
promoting Buddhism,CS,0.23556197187655514,0.25%
starring in Hollywood movies,CS+DS,0.2971382231124768,0.38%
playing the piano,DS,0.26751896191751573,0.29%
dating supermodels,CS,0.3299353197630271,0.25%
gurning for the camera,CS+DS,0.34915324433673206,0.38%
singing punk rock songs,CS,0.2772685392518052,0.17%
running a business empire,CS,0.3920733617319483,0.42%
playing jazz saxophone,CS,0.3857176438235816,0.42%
convicting criminals,DS,0.3122886739872571,0.29%
starring in madcap comedies,CS+DS,0.36933114795998073,0.38%
painting folksy pictures,CS+DS,0.38995675907437166,0.25%
proving math theorems,CS+DS,0.05366045887030621,0.00%
incurring debts,DS,0.37522336769001335,0.29%
clipping coupons,DS,0.36219550817517004,0.25%
playing soccer,CS+DS,0.09381898343307547,0.13%
solving crimes,DS,0.3643186629595403,0.46%
running a kingdom,CS+DS,0.39775094096323316,0.46%
climbing social ladders,CS+DS,0.38664287288601573,0.29%
playing the saxophone,CS,0.17690584758146144,0.17%
duelling acrobatically,DS,0.31512887993011596,0.38%
running a criminal enterprise,CS,0.29816441587528636,0.38%
ranting about liberals,CS+DS,0.3424551043411169,0.25%
singing pop songs,CS+DS,0.3972520332535263,0.25%
plotting criminal schemes,DS,0.32323821567557653,0.50%
spitting while speaking,DS,0.33420901553812216,0.21%
writing science fiction,CS,0.14560111209905188,0.13%
smoking herb,CS,0.3528364374253838,0.50%
writing serialized stories,CS,0.3897274895620035,0.38%
directing the business of state,CS,0.27294368070693154,0.29%
spreading philosophy,CS+DS,0.237811527544831,0.13%
starring in Hollywood movies,CS,0.232256797687524,0.25%
writing modern poetry,CS,0.1867056920310124,0.33%
pinching pennies,DS,0.18810216131189925,0.04%
collecting pirate booty,DS,0.30379858450611597,0.29%
diagnosing diseases,DS,0.39860816106911523,0.25%
writing poetry,CS,0.07444092101203015,0.08%
singing pop songs,CS,0.23934729837579957,0.25%
manipulating political pawns,DS,0.26517528477422614,0.33%
drinking White Russians,DS,0.29309467639166553,0.25%
singing pop songs,CS+DS,0.39546227054187366,0.46%
posing for photographs,CS,0.39714494580242754,0.25%
collecting alimony,CS+DS,0.3746238885697581,0.54%
avoiding growing old,DS,0.17979722427913192,0.25%
monetizing celebrity status,CS+DS,0.3721185415297299,0.29%
interpreting evidence,DS,0.13020357720888195,0.08%
promoting conservative values,CS,0.21311238726494744,0.29%
campaigning for social causes,CS+DS,0.37713306967293997,0.33%
starring in Hollywood movies,CS+DS,0.28661763788505956,0.33%
solving riddles,DS,0.38900868644980857,0.13%
interpreting evidence,DS,0.3988454760132292,0.54%
sucking blood,DS,0.3798459192053421,0.13%
promoting Catholic values,CS,0.274317167224659,0.50%
making antisemitic remarks,CS,0.2624188422127242,0.21%
pouting on camera,CS,0.35939069611207336,0.25%
ruling over subjects,CS+DS,0.3985927118773282,0.29%
singing Hipbop songs,CS,0.11748505104933883,0.04%
playing aggressive chess,CS,0.059988509419343056,0.04%
partying on yachts,CS+DS,0.33828536170790013,0.33%
driving around America,CS+DS,0.34706224074018205,0.42%
planting daffodils,DS,0.3499007957025086,0.33%
keeping a diary,DS,0.23548456279967456,0.25%
singing pop songs,CS,0.2670371725926515,0.29%
building giant walls,CS+DS,0.3788676342092026,0.58%
writing plays,CS+DS,0.12743901772175806,0.04%
investigating alien abductions,DS,0.398375765274897,0.38%
solving crimes,DS,0.3970980897207667,0.25%
writing poetry,CS+DS,0.39772944402913224,0.71%
spreading political gossip,CS+DS,0.10659005034710939,0.08%
playing God,DS,0.3710438304074254,0.29%
designing computer systems,CS+DS,0.3955751308029146,0.42%
promoting healthy eating,DS,0.31392517529569985,0.29%
studying science,DS,0.29284334029963033,0.21%
running an empire,DS,0.3983631572002068,0.33%
recruiting disaffected youths,CS+DS,0.32923449622809364,0.50%
selling cosmetics,CS,0.32639857456605975,0.38%
planning confidence tricks,DS,0.3955602888760338,0.46%
spying for the enemy,DS,0.35514325802606506,0.29%
writing modern fiction,CS+DS,0.39483033001483786,0.29%
hosting a late night chat show,CS+DS,0.2524448473888039,0.13%
winning Michelin stars,CS,0.39719383196554664,0.42%
running a criminal enterprise,DS,0.3910949253105664,0.38%
playing rock music,DS,0.20857199508070293,0.25%
singing rock songs,CS,0.2412798294146611,0.33%
fighting barbarian hordes,CS,0.39852648689437087,0.38%
directing robot movies,CS,0.31829895126709,0.29%
preparing for the apocalypse,DS,0.36949142206914976,0.17%
breaking records,CS,0.39586843920412024,0.29%
studying science,CS+DS,0.3949275246163058,0.25%
starring in comedies,CS,0.3407265726069967,0.17%
pedalling engine-less cars,DS,0.15344382411726915,0.21%
apprehending criminals,DS,0.3077587434601893,0.38%
solving crimes,DS,0.36148433275294345,0.29%
delivering forehand slams,CS+DS,0.23408007221236002,0.25%
painting self-portraits,CS+DS,0.20511535221305435,0.13%
defending the innocent,DS,0.3954005975315765,0.33%
trimming bushes,DS,0.383190008215907,0.17%
painting over photographs,CS+DS,0.2831043475904429,0.42%
cross-dressing in women's clothes,CS,0.3673659039886705,0.46%
giving to the poor,DS,0.39196603310916767,0.38%
promoting Heliocentrism,CS+DS,0.06311071936706276,0.04%
playing grungy music,CS,0.396115145999596,0.33%
seducing kings,CS,0.3387461240908353,0.13%
flipping hamburgers,DS,0.2230143388658326,0.33%
playing pranks,DS,0.1945815297442387,0.17%
writing pop songs,CS,0.341260715685402,0.38%
assassinating presidents,CS+DS,0.17148680660812107,0.17%
writing in ledgers,DS,0.19440359044089617,0.21%
investing in real estate,CS,0.06157445075794453,0.13%
advising on foreign affairs,CS,0.3709777140052413,0.46%
making money,DS,0.20072476282007634,0.17%
fighting with swords,DS,0.35714350490821806,0.17%
prowling for dinner,DS,0.2489691880261307,0.25%
ranting about liberals,CS,0.398769677173707,0.58%
painting colorful pictures,CS,0.3977438154371064,0.29%
singing torch songs,CS,0.3349084894036433,0.50%
planning orgies,CS+DS,0.10558823592387284,0.04%
defending the weak,CS,0.19904894151314656,0.29%
wisecracking,DS,0.2388528853845175,0.33%
playing quidditch,DS,0.2137291428867198,0.17%
preparing for war,DS,0.13141607266760183,0.08%
making soap,DS,0.11867464193296444,0.00%
singing pop songs,CS,0.3871304780772768,0.63%
campaigning for social causes,CS+DS,0.37422292833196535,0.58%
peacocking in fancy clothes,CS+DS,0.2795926338104714,0.25%
plotting terrorist outrages,CS+DS,0.2819498944074045,0.25%
entertaining teenagers,CS,0.12414459394876143,0.00%
expressing violent urges,DS,0.07235777265148773,0.04%
singing rock songs,CS+DS,0.10067575473742499,0.04%
promoting conservative values,CS,0.3879835274220895,0.50%
writing political satires,CS+DS,0.3926722031605623,0.33%
solving crimes,DS,0.36397745803141296,0.42%
creating monsters,DS,0.2872641254520591,0.08%
writing plays,CS,0.2488290083296973,0.29%
producing Hipbop records,CS,0.17291587663032884,0.21%
over-acting,CS+DS,0.3983232335215989,0.38%
campaigning for world peace,CS+DS,0.006644498691632969,0.00%
providing comic relief,DS,0.19217076432050287,0.08%
foiling the schemes of evil villains,DS,0.34636164565204525,0.17%
issuing threats,CS+DS,0.018908681606044173,0.00%
writing pop songs,CS,0.32733661266098213,0.25%
writing plays,CS,0.18701541306100428,0.08%
offering bad advice,DS,0.3921263697492816,0.38%
scandalizing polite society,CS,0.3830714365884316,0.33%
singing country music,CS+DS,0.3523229355780543,0.54%
starring in Hollywood movies,CS,0.012475326515410012,0.00%
testing new technologies,CS+DS,0.3854191533677855,0.29%
climbing social ladders,DS,0.37955560743325245,0.29%
fighting for democracy,CS,0.3644988515909555,0.38%
promoting science,DS,0.39572316844740046,0.29%
running a bureaucracy,DS,0.3071059101210966,0.21%
writing modern fiction,CS,0.16924626090768288,0.13%
manipulating political pawns,DS,0.317510893656882,0.29%
promoting humanism,CS+DS,0.3945539627275835,0.46%
running a clandestine spy organization,DS,0.3307932240830848,0.25%
finding clues,DS,0.3989255422530643,0.42%
teaching philosophy,CS,0.3425626165164781,0.21%
interviewing politicians,CS+DS,0.34140938000156373,0.58%
promoting mysticism,DS,0.3726215748546867,0.38%
making vulgar jokes,DS,0.3479908037099297,0.38%
cross-dressing in women's clothes,CS+DS,0.16247163452318542,0.25%
waging a secret war,DS,0.1616027712931261,0.08%
writing rock songs,CS+DS,0.18181936844731472,0.17%
attending cotillion balls,DS,0.2922942172892554,0.29%
modeling DNA,CS,0.3427098730220002,0.29%
breaking records,CS,0.2953599059321789,0.38%
blowing bubbles,DS,0.3577870773850838,0.29%
terrorizing employees,DS,0.2085969444474728,0.29%
drinking too much red wine,DS,0.3982074604997331,0.50%
interpreting evidence,DS,0.34809510331311017,0.33%
running a business empire,DS,0.23334056513387713,0.21%
singing Hipbop songs,CS,0.33025716024429275,0.33%
